doc_id,documento,tema_id,tema,palabras_clave
14705,perderte esto no deja de impresionarme la impresionante corrupcion de la policia de mexico la peor basura de mexico en el peru es peor la corrupcion de la policia rateros,5,Morena (-),"corrupcion, rateros"
14706,y policias trabajan juntos asi es en el peru el delincuente te cobra extorsiones y el policia si el ladron no te extorciona el policia te cobra asi de podridos,1,Seguridad,"delincuente, ladron, policia"
14707,son las autoridades en el peru estriste que en mexico pase lo mismo el gobierno despues de eso br dile ya a tus papas de que no vas a regresar,-1,No clasificado,
14708,a href me mie de risa jajajajaja corruptos cobardes y gays wow hasta cuando mexico literal como ratas salieron esos son los policias que cuidan al pais eso video que,5,Morena (-),corruptos
14709,se manden a la presidenta del gobierno aber que asen por mexico la reportera le echo carrera al policia excelente esa reportera se merece tener su propio programa quot no,1,Seguridad,policia
14710,corra no corra quot dejeme intrevistarlo ladrones con trabajo de policia y de esos muuuchos se escapa el delincuente con uniforme y placa yo me imagino que la reportera llega,1,Seguridad,"delincuente, ladrones, policia"
14711,donde se ocupa reportar en su suzuki hoyabuza alla tenian su nido las ratas y salieron huyendo excelente trabajo por reportera de azteca miserable policias corruptos son huerhuensa para para,5,Morena (-),corruptos
14712,mexico una reportera correteando una mas le vale a tv azteca que cambie por el bien de ellos mismos no se que hacen con esas bolas de ratas t justo,-1,No clasificado,
14713,en esa zona y desde que se cruza la frontera con el estado de mexico sucede a menudo los limites con el estado de mexico son peligrosos tanto por la,-1,No clasificado,
14714,delincuencia como por la misma policia de la region si no lo sabian ahora no hay pretexto para pretender que no se conoce esta mala practica de la policia que,1,Seguridad,"delincuencia, policia"
14715,desafortunadamente tiene decadas funcionando igual por eso dicen que quot todo fuera de la cdmx es estado de mexico quot es lo que somos ratas que buen trabajo evidenciar a,-1,No clasificado,
14716,estos criminales uniformados ptm viva mexico babrones abrazosssss nooo balazosssss una rata con uniforme y charola siguelo al perro hasta que se heche corre conejo corre veloz que te alcanza,-1,No clasificado,
14717,kariana y el camarografo un delincuente en moto policial que verguenza la mexicanada delincuentes vestidos de policia br equipados con recursos del estado el pueblo br que hace el gobierno,1,Seguridad,"delincuente, delincuentes, policia"
14718,viva mexico wey corrio como la rata que es que maldito policia debe sacar esa gente no sin represenyanyes de la ley le pudo dar un infarto al por tanto,1,Seguridad,policia
14719,correr asi son los policias de mexico a mi me agarraban por cualquier cosa y me decian que me ivan a quitar mi camioneta empezando el ano con ese video,-1,No clasificado,
14720,iconico cuidate mucho chica dios te guarde esta rebuena la reoportera quien quiere ir a mexico ahora en el mundial le van a robar a todos los extranjeros no vayan,-1,No clasificado,
14721,a mexico resultado del gobierno socialista esto es lo que nos venden son una banda criminal y para que todos ya que todos huyen y se tapan la cara pinches,1,Seguridad,criminal
14722,descarados que xuxa corren mas que el seleccionado de futbol y mi chica rifada la reportera hablando sin agitarse despues de correr olimpica br el conductor extorcionado nunca dijo que,-1,No clasificado,
14723,le pidieron dinero ni menciono cantidades br felicidades reportera loreta al rato sale la judia diciendo que abrira una carpeta para lavarse las manos amblonohizoeltrabajocompletodejoaubnapoliciacorrupta como perro hambriento que asco,-1,No clasificado,
14724,es mexico la repostera in aplauso reinano dejes de hacer tu trabajo por eso el pais nunca mejorara dan verguenza el servicio policial en el que in ciudadano deberia confiartriste,-1,No clasificado,
14725,esto es lo mas surrealista que he visto en mi vida tratandose de videos de policias y si los vecinos saben de eso porque no lo denuncian literalmente son ratas,-1,No clasificado,
14726,y la rata corrio como la rata que es naguara los mexicanos no tienen vida estan igual que nosotros los venezolanos la matraca de los policias y los narcos no,-1,No clasificado,
14727,es police algunos ni siquiera son oficiales br pero en morena no hay rftas como que cada vez da menos ganas de conocer a mexico encontraron el nido de cucarachas,-1,No clasificado,
14728,este medio de desinformacion television azteca es especialista en fake news cero por ciento de credibilidad en mexico mexico le gano nuevamente a la ia talves no es policia eso,1,Seguridad,policia
14729,es muy muy muy comun en guadalajara el yunque lo predijo con el pegame a mi de risa al ciudadano de pie es al que le piden biometricos para evitar,-1,No clasificado,
14730,extorsiones cuando son los propios servidores publicos los que extorsionan la policia es la mafia mas grande de america latina jajajaja jajajaja esa rata si q corrio jajajaja jajajaja chinche,1,Seguridad,policia
14731,delicuentes con permiso que buen reportage se le cayo el relato en vivo q porqueria de pais basura lastima por su poblacion y por su territorio tan lindo pero wow,0,Servicios,basura
14732,q porqueria de pais tienen chale con la chota la prensa persiguiendo a los delincuentes el camarografo para la proxima olympiada porque puede correr agarrenlo agarrenlo que buen cardio tiene,1,Seguridad,delincuentes
14733,el camara puros montajes jajajajaj ja esto solo pasa en mexico magico le hubieses dicho no corra pues no es ratero pero si lo era jajajja desde colombia lombia no,-1,No clasificado,
14734,paro de reir y logico tambirn un amargo sabir de la corrupcion que permeo las fuerzas publicas mundiales no sean hifueptas un millon en dias wow esto es miorena no,5,Morena (-),corrupcion
14735,se vayan a morder la lengua la vida cotidiana en mexico y corrieron todos si fue un autentico corredero dee ratas br y que ha dicho transito de naucalpan no,2,Vialidades,transito
14736,tiene nada que ver pero ya quiero que nos ataque estado unidos estoy aburrido y quiero un arma mas si alcanzan no se confundan apoyo a estados unidos pero cualquier,-1,No clasificado,
14737,excusa es buena para que me den un arma maravillosa jugada de la reportera propongo que lo cuelgue en la plaza publica como en los viejos tiempos amo como corrio,-1,No clasificado,
14738,la reportera wow sigue la corrupcion delfina gomez es la gobernadora br conocida por pedir moches en ecatepec que se esperan llego hasta donde estaba todo el nido de ratas,6,Corrupcion,"corrupcion, moches"
14739,hahahahha jajajaja pero dice su presidente amlo que ya no hay corrupcion quot voy de paso quot eso no es justificacion para nada a quien se le ocurrio esa frase,4,Morena (+ / neutro),amlo
14740,que ya todos la usan como justificante y bueno con los bajos sueldos que cobran decidieron iniciar un quot emprendimiento quot ja ja ja mamita queridaaaaaa estamos en el horno,-1,No clasificado,
14741,la gente decente con quienes tienen que cuidarnos pero bueno en todo el mundo el mal ejemplo viene un poco mas arriba fin mexico tenia que ser mientras no acabe,-1,No clasificado,
14742,la corrupcion en mejico no llegara a ser del primer mundo si trae buena condicion fica el de la camara dejo atras a la chava y alcanzo a la rata,5,Morena (-),corrupcion
14743,policia tres dos uno tin tin tiriri tin no soy de mejico pero ese corre y corre se ve comico que se asombran tienen el primer puesto en corrupcion a,1,Seguridad,policia
14744,nivel mundial increible que verguenza para mexico y mas increible lo tacano del tipo del carro que viaja de chicago a mexico en carro la policia corrupta como en el,1,Seguridad,policia
14745,peru esos elementos deberian de estar en la carcel cadena perpetua pero seguro el estado los dejara libre y no solo ellos todos los que trabajan en la politica y,-1,No clasificado,
14746,en las areas donde tiene poder para extorsion y mafia q triste esta la humanidad ya no hay respeto no hay ley solo corrupcion hasta la policia parecen ratones de,1,Seguridad,policia
14747,biblioteca como hacer con esta gente viva mexico corrupto cabrones rapidisimo el camarografo casi lo agarra jajaj br pero ya en serio que asco esta todo podrido quienes deben proteger,6,Corrupcion,corrupto
