doc_id,documento,tema_id,tema,palabras_clave
1783,asi que dona clara burrada br deje de defender esas ideologias donde el odio en contra de los hombres se manifiest hasta en esa absurda y ridicula cancion del mundial,-1,No clasificado,
1784,con la presta voz de juli ta ven gas br ese movimiento br no va a nada bueno no observan la norma por br b quot i g n o,4,Morena (+ / neutro),movimiento
1785,r a n t e quot b y eran diferentes estas br dano patrimonial juicio politico para clara brugada por negligencia y omision a los reglamentos viales y desfalco a,6,Corrupcion,desfalco
1786,la nacion eso pasa cuando votas por una bola de agitadores que pasaron pr la universidad en paros y marchas br como ellos no generan ingresos y solo se gastan,-1,No clasificado,
1787,nuestros impuestos les vale cuando son ineptos y endejos que mujer tan ignorante que vaya a la carcel por conforme avance el comunismo cada vez sera mas dificil poner en,-1,No clasificado,
1788,orden al gobierno de morena a ese grado la ignorancia de los que nos gobiernan todo miguel angel de quevedo eje tres oriente y el resto de vialidades no pintan,2,Vialidades,vialidades
1789,lineas en tres carriles no hay pasos peatonales y le importa un cacahuate al narcomorena despilfarra el dinero publico por que como no es su dinero que se gaste y,5,Morena (-),narcomorena
1790,usa sus empresas tranzas y recibe de vuelta una lana la guatemalteca clara brugada el ojos juntos secretario de gobierno y demas integrantes de la banda solo se benefician de,6,Corrupcion,tranzas
1791,todo esto saqueadores de la nacion es pesimo lo que estan haciendo esa empresa no vendia el morado y revendieron eso al gobierno jajajaja y pensar que un dia la,-1,No clasificado,
1792,gente apoyo a ariategui pensando que era una victima que rapido saco su verdadera identidad para convertirse en una vocera y promotora de la derecha pero ya no tiene redivilodad,-1,No clasificado,
1793,y quien va a pagar el error este tipo ya fue gobierno y fue muy corrupto no entiendo como esta pseudo periodista invita a este tipo de personajes quiza porque,6,Corrupcion,corrupto
1794,sus contratos periodisticos se lo impongan como director del conacyt le dio beca cientifica a su sobrino cuya actividad era ser cheff pizzero lila como el del partido satelite de,-1,No clasificado,
1795,morena quot pes quot ahora llamado csp asi es la ignorancia a este senor nada le tiene contento es como la gata flora por eso no gobierno gracias a dios,-1,No clasificado,
1796,es lamentable esta gente esperanos que ya los saquen no tienen ni idea de lo que hacen que saben hacer los morenarcos aparte de robar ese es el problema del,5,Morena (-),morenarcos
1797,dinero no importa el partido politico o sea hombre o mujer siempre buscan hacer negocios con dinero publico sea pintando o rompiendo banquetas ignorantes y corruptos los brugada y morenistas,2,Vialidades,banquetas
1798,de cdmx debe renunciar brugada y sus complices de morena brugada es un burro y corrupta no saben ni madr lo que pasa que esos funcionarios son unos ignorantes y,6,Corrupcion,"complices, corrupta"
1799,corruptos no solo eso en el metro los techos negros se ven espantosos y dan impresion de un lugar que causa claustrofobia yo siempre eh dicho que clara y su,5,Morena (-),corruptos
1800,apellido burrada deverian exigir su renuncia para que quieren ineptas que no sirven nada mas que para robar estan rebasando las normas y amerita la renuncia de clara brugada brugada,-1,No clasificado,
1801,que pague el lila los miles de galones de la genial idea de esta neofita estos corruptos violan todos los derechos a la vida son unos burros esos de el,5,Morena (-),corruptos
1802,gobierno pues clara no sabe expliquenle estan penitentes q van a saber son neofitos que barbaridad br se verdad es el br colmo estais de la t morena se pasan,-1,No clasificado,
1803,todo br por el arco del triunfo br br br ya basta la ineptitud de brujada en todo su esplendor es que brugada solo tiene primaria tu no crees en,-1,No clasificado,
1804,magia si esto pasar en una empresa privada la echan a la calle porque no pedimos que la corran ya que falta narcopoliticos ignorantes cinicos oo dos cientos cincuenta millones,2,Vialidades,calle
1805,y las medicinas hasta hay una pelcula llamada lnea amarilla esperaramos que corrieran a alguien en el gabinete de la jefa de gob porque este gasto no lo compensan ni,-1,No clasificado,
1806,medio ano de apoyos sociales necesitamos cuentas claras clara ya no pueden hacer nada porque para las fachos esta mal nada les embona aca en merida yucatan la alcaldesa pinta,-1,No clasificado,
